"id",categorie,sous-categorie,activite,naf
"466","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'habillement en magasin spécialisé","47.71Z"
"467","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de la chaussure","47.72A"
"468","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de maroquinerie et d'articles de voyage","47.72B"
"469","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de produits pharmaceutiques en magasin spécialisé","47.73Z"
"470","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé","47.74Z"
"471","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé","47.75Z"
"472","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé","47.76Z"
"473","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé","47.77Z"
"474","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerces de détail d'optique","47.78A"
"475","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerces de détail de charbons et combustibles","47.78B"
"476","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Autres commerces de détail spécialisés divers","47.78C"
"477","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de biens d'occasion en magasin","47.79Z"
"478","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail alimentaire sur éventaires et marchés","47.81Z"
"479","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés","47.82Z"
"480","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Autres commerces de détail sur éventaires et marchés","47.89Z"
"481","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Vente à distance sur catalogue général","47.91A"
"482","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Vente à distance sur catalogue spécialisé","47.91B"
"483","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Vente à domicile","47.99A"
"484","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.","47.99B"
"485","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transport ferroviaire interurbain de voyageurs","49.10Z"
"486","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transports ferroviaires de fret ","49.20Z"
"487","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transports urbains et suburbains de voyageurs","49.31Z"
"488","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transports de voyageurs par taxis","49.32Z"
"489","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transports routiers réguliers de voyageurs","49.39A"
"490","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Autres transports routiers de voyageurs ","49.39B"
"491","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Téléphériques et remontées mécaniques","49.39C"
"492","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transports routiers de fret interurbains","49.41A"
"493","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transports routiers de fret de proximité","49.41B"
"494","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Location de camions avec chauffeur","49.41C"
"495","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Services de déménagement","49.42Z"
"496","Services de transport et d'entreposage","Transports terrestres et transports par conduite","Transports par conduites","49.50Z"
"497","Services de transport et d'entreposage","Transports par eau","Transports maritimes et côtiers de passagers","50.10Z"
"498","Services de transport et d'entreposage","Transports par eau","Transports maritimes et côtiers de fret","50.20Z"
"499","Services de transport et d'entreposage","Transports par eau","Transports fluviaux de passagers","50.30Z"
"500","Services de transport et d'entreposage","Transports par eau","Transports fluviaux de fret ","50.40Z"
"501","Services de transport et d'entreposage","Transports aériens","Transports aériens de passagers","51.10Z"
"502","Services de transport et d'entreposage","Transports aériens","Transports aériens de fret","51.21Z"
"503","Services de transport et d'entreposage","Transports aériens","Transports spatiaux","51.22Z"
"504","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Entreposage et stockage frigorifique","52.10A"
"505","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Entreposage et stockage non frigorifique","52.10B"
"506","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Services auxiliaires des transports terrestres","52.21Z"
"507","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Services auxiliaires des transports par eau","52.22Z"
"508","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Services auxiliaires des transports aériens","52.23Z"
"509","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Manutention portuaire","52.24A"
"510","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Manutention non portuaire","52.24B"
"511","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Messagerie, fret express","52.29A"
"512","Services de transport et d'entreposage","Entreposage et service auxiliaires des transports","Affrètement et organisation des transports ","52.29B"
"513","Services de transport et d'entreposage","Activités de poste et de courrier","Activités de poste dans le cadre d'une obligation de service universel ","53.10Z"
"514","Services de transport et d'entreposage","Activités de poste et de courrier","Autres activités de poste et de courrier","53.20Z"
"515","Services d'hébergement et de restauration","Services d'hébergement","Hôtels et hébergement similaire ","55.10Z"
"516","Services d'hébergement et de restauration","Services d'hébergement","Hébergement touristique et autre hébergement de courte durée ","55.20Z"
"517","Services d'hébergement et de restauration","Services d'hébergement","Terrains de camping et parcs pour caravanes ou véhicules de loisirs","55.30Z"
"518","Services d'hébergement et de restauration","Services d'hébergement","Autres hébergements ","55.90Z"
"519","Services d'hébergement et de restauration","Restauration","Restauration traditionnelle","56.10A"
"520","Services d'hébergement et de restauration","Restauration","Cafétérias et autres libres-services","56.10B"
"521","Services d'hébergement et de restauration","Restauration","Restauration de type rapide","56.10C"
"522","Services d'hébergement et de restauration","Restauration","Services des traiteurs ","56.21Z"
"523","Services d'hébergement et de restauration","Restauration","Restauration collective sous contrat","56.29A"
"524","Services d'hébergement et de restauration","Restauration","Autres services de restauration n.c.a.","56.29B"
"525","Services d'hébergement et de restauration","Restauration","Débits de boissons","56.30Z"
"526","Services d'information et de communication","Edition","Édition de livres","58.11Z"
"527","Services d'information et de communication","Edition","Édition de répertoires et de fichiers d'adresses","58.12Z"
"528","Services d'information et de communication","Edition","Édition de journaux","58.13Z"
"529","Services d'information et de communication","Edition","Édition de revues et périodiques","58.14Z"
"530","Services d'information et de communication","Edition","Autres activités d'édition","58.19Z"
"531","Services d'information et de communication","Edition","Édition de jeux électroniques","58.21Z"
"532","Services d'information et de communication","Edition","Édition de logiciels système et de réseau","58.29A"
"533","Services d'information et de communication","Edition","Edition de logiciels outils de développement et de langages","58.29B"
"534","Services d'information et de communication","Edition","Edition de logiciels applicatifs","58.29C"
"535","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Production de films et de programmes pour la télévision ","59.11A"
"536","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Production de films institutionnels et publicitaires","59.11B"
"537","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Production de films pour le cinéma","59.11C"
"538","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Post-production de films cinématographiques, de vidéo et de programmes de télévision","59.12Z"
"539","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Distribution de films cinématographiques","59.13A"
"540","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Edition et distribution vidéo","59.13B"
"541","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Projection de films cinématographiques","59.14Z"
"542","Services d'information et de communication","Production de film cinématrographiques, de vidéo et de programmes de télévision ; Enregistrement sonore et édition musicale","Enregistrement sonore et édition musicale ","59.20Z"
"543","Services d'information et de communication","Programmation et diffusion","Édition et diffusion de programmes radio","60.10Z"
"544","Services d'information et de communication","Programmation et diffusion","Edition de chaînes généralistes","60.20A"
"545","Services d'information et de communication","Programmation et diffusion","Edition de chaînes thématiques","60.20B"
"546","Services d'information et de communication","Télécommunications","Télécommunications filaires","61.10Z"
"547","Services d'information et de communication","Télécommunications","Télécommunications sans fil ","61.20Z"
"548","Services d'information et de communication","Télécommunications","Télécommunications par satellite","61.30Z"
"549","Services d'information et de communication","Télécommunications","Autres activités de télécommunication ","61.90Z"
"550","Services d'information et de communication","Programmation, conseil et autres activités informatiques","Programmation informatique","62.01Z"
"551","Services d'information et de communication","Programmation, conseil et autres activités informatiques","Conseil en systèmes et logiciels informatiques","62.02A"
"552","Services d'information et de communication","Programmation, conseil et autres activités informatiques","Tierce maintenance de systèmes et d’applications informatiques","62.02B"
"553","Services d'information et de communication","Programmation, conseil et autres activités informatiques","Gestion d'installations informatiques","62.03Z"
"554","Services d'information et de communication","Programmation, conseil et autres activités informatiques","Autres activités informatiques","62.09Z"
"555","Services d'information et de communication","Services d'information","Traitement de données, hébergement et activités connexes","63.11Z"
"556","Services d'information et de communication","Services d'information","Portails Internet","63.12Z"
"557","Services d'information et de communication","Services d'information","Activités des agences de presse","63.91Z"
"558","Services d'information et de communication","Services d'information","Autres services d'information n.c.a.","63.99Z"
"559","Activités financières et d'assurance","Activités des services financiers, hors assurance et caisses de retraite","Activités de banque centrale","64.11Z"
"560","Activités financières et d'assurance","Activités des services financiers, hors assurance et caisses de retraite","Autres intermédiations monétaires","64.19Z"
"561","Activités financières et d'assurance","Activités des services financiers, hors assurance et caisses de retraite","Activités des sociétés holding","64.20Z"
"562","Activités financières et d'assurance","Activités des services financiers, hors assurance et caisses de retraite","Fonds de placement et entités financières similaires","64.30Z"
"563","Activités financières et d'assurance","Activités des services financiers, hors assurance et caisses de retraite","Crédit-bail ","64.91Z"
"564","Activités financières et d'assurance","Activités des services financiers, hors assurance et caisses de retraite","Autre distribution de crédit","64.92Z"
"565","Activités financières et d'assurance","Activités des services financiers, hors assurance et caisses de retraite","Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.","64.99Z"
"566","Activités financières et d'assurance","Assurance","Assurance vie","65.11Z"
"567","Activités financières et d'assurance","Assurance","Autres assurances","65.12Z"
"568","Activités financières et d'assurance","Assurance","Réassurance","65.20Z"
"569","Activités financières et d'assurance","Assurance","Caisses de retraite","65.30Z"
"570","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Administration de marchés financiers","66.11Z"
"571","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Courtage de valeurs mobilières et de marchandises","66.12Z"
"572","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Supports juridiques de gestion de patrimoine mobilier","66.19A"
"573","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.","66.19B"
"574","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Évaluation des risques et dommages","66.21Z"
"575","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Activités des agents et courtiers d'assurances","66.22Z"
"576","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Autres activités auxiliaires d'assurance et de caisses de retraite","66.29Z"
"577","Activités financières et d'assurance","Activités auxiliaires de services financiers et d'assurance","Gestion de fonds","66.30Z"
"578","Activités immobilières","Activités immobilières","Activités des marchands de biens immobiliers","68.10Z"
"579","Activités immobilières","Activités immobilières","Location de logements","68.20A"
"580","Activités immobilières","Activités immobilières","Location de terrains et d'autres biens immobiliers","68.20B"
"581","Activités immobilières","Activités immobilières","Agences immobilières","68.31Z"
"582","Activités immobilières","Activités immobilières","Administration d'immeubles et autres biens immobiliers","68.32A"
"583","Activités immobilières","Activités immobilières","Supports juridiques de gestion de patrimoine immobilier","68.32B"
"584","Activités spécialisées, scientifiques et techniques","Activités juridiques et comptables","Activités juridiques","69.10Z"
"585","Activités spécialisées, scientifiques et techniques","Activités juridiques et comptables","Activités comptables","69.20Z"
"586","Activités spécialisées, scientifiques et techniques","Activités des sièges sociaux ; Conseil de gestion","Activités des sièges sociaux","70.10Z"
"587","Activités spécialisées, scientifiques et techniques","Activités des sièges sociaux ; Conseil de gestion","Conseil en relations publiques et communication","70.21Z"
"588","Activités spécialisées, scientifiques et techniques","Activités des sièges sociaux ; Conseil de gestion","Conseil pour les affaires et autres conseils de gestion","70.22Z"
"589","Activités spécialisées, scientifiques et techniques","Activités d'architecture et d'ingénierie ; Activités de contrôles et analyses techniques","Activités d'architecture ","71.11Z"
"590","Activités spécialisées, scientifiques et techniques","Activités d'architecture et d'ingénierie ; Activités de contrôles et analyses techniques","Activité des géomètres","71.12A"
"591","Activités spécialisées, scientifiques et techniques","Activités d'architecture et d'ingénierie ; Activités de contrôles et analyses techniques","Ingénierie, études techniques","71.12B"
"592","Activités spécialisées, scientifiques et techniques","Activités d'architecture et d'ingénierie ; Activités de contrôles et analyses techniques","Contrôle technique automobile","71.20A"
"593","Activités spécialisées, scientifiques et techniques","Activités d'architecture et d'ingénierie ; Activités de contrôles et analyses techniques","Analyses, essais et inspections techniques","71.20B"
"594","Activités spécialisées, scientifiques et techniques","Recherche-développement scientifique","Recherche-développement en biotechnologie","72.11Z"
"595","Activités spécialisées, scientifiques et techniques","Recherche-développement scientifique","Recherche-développement en autres sciences physiques et naturelles","72.19Z"
"596","Activités spécialisées, scientifiques et techniques","Recherche-développement scientifique","Recherche-développement en sciences humaines et sociales","72.20Z"
"597","Activités spécialisées, scientifiques et techniques","Publicité et études de marché","Activités des agences de publicité","73.11Z"
"598","Activités spécialisées, scientifiques et techniques","Publicité et études de marché","Régie publicitaire de médias","73.12Z"
"599","Activités spécialisées, scientifiques et techniques","Publicité et études de marché","Études de marché et sondages","73.20Z"
"600","Activités spécialisées, scientifiques et techniques","Autres activités scpécialisées, scientifiques et techniques","Activités spécialisées de design","74.10Z"
"601","Activités spécialisées, scientifiques et techniques","Autres activités scpécialisées, scientifiques et techniques","Activités photographiques","74.20Z"
"602","Activités spécialisées, scientifiques et techniques","Autres activités scpécialisées, scientifiques et techniques","Traduction et interprétation","74.30Z"
"603","Activités spécialisées, scientifiques et techniques","Autres activités scpécialisées, scientifiques et techniques","Activité des économistes de la construction","74.90A"
"604","Activités spécialisées, scientifiques et techniques","Autres activités scpécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques diverses","74.90B"
"605","Activités spécialisées, scientifiques et techniques","Activités vétérinaires","Activités vétérinaires","75.00Z"
"606","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location de courte durée de voitures et de véhicules automobiles légers","77.11A"
"607","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location de longue durée de voitures et de véhicules automobiles légers","77.11B"
"608","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail de camions","77.12Z"
"609","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail d'articles de loisirs et de sport ","77.21Z"
"610","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location de vidéocassettes et disques vidéo","77.22Z"
"611","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail d'autres biens personnels et domestiques","77.29Z"
"612","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail de machines et équipements agricoles","77.31Z"
"613","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail de machines et équipements pour la construction","77.32Z"
"614","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail de machines de bureau et de matériel informatique","77.33Z"
"615","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail de matériels de transport par eau","77.34Z"
"616","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail de matériels de transport aérien","77.35Z"
"617","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location et location-bail d'autres machines, équipements et biens matériels n.c.a. ","77.39Z"
"618","Activités de services administratifs et de soutien","Activités de location et de location-bail","Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright","77.40Z"
"619","Activités de services administratifs et de soutien","Activitées liées à l'emploi","Activités des agences de placement de main-d'œuvre ","78.10Z"
"620","Activités de services administratifs et de soutien","Activitées liées à l'emploi","Activités des agences de travail temporaire ","78.20Z"
"621","Activités de services administratifs et de soutien","Activitées liées à l'emploi","Autre mise à disposition de ressources humaines","78.30Z"
"622","Activités de services administratifs et de soutien","Activités des agences de voyage, voyagistes, services de reservation et activités connexes","Activités des agences de voyage","79.11Z"
"623","Activités de services administratifs et de soutien","Activités des agences de voyage, voyagistes, services de reservation et activités connexes","Activités des voyagistes","79.12Z"
"624","Activités de services administratifs et de soutien","Activités des agences de voyage, voyagistes, services de reservation et activités connexes","Autres services de réservation et activités connexes","79.90Z"
"625","Activités de services administratifs et de soutien","Enquêtes et sécurité","Activités de sécurité privée ","80.10Z"
"626","Activités de services administratifs et de soutien","Enquêtes et sécurité","Activités liées aux systèmes de sécurité ","80.20Z"
"627","Activités de services administratifs et de soutien","Enquêtes et sécurité","Activités d'enquête","80.30Z"
"628","Activités de services administratifs et de soutien","Services relatifs aux bâtiments et aménagement paysager","Activités combinées de soutien lié aux bâtiments ","81.10Z"
"629","Activités de services administratifs et de soutien","Services relatifs aux bâtiments et aménagement paysager","Nettoyage courant des bâtiments","81.21Z"
"630","Activités de services administratifs et de soutien","Services relatifs aux bâtiments et aménagement paysager","Autres activités de nettoyage des bâtiments et nettoyage industriel","81.22Z"
"631","Activités de services administratifs et de soutien","Services relatifs aux bâtiments et aménagement paysager","Désinfection, désinsectisation, dératisation","81.29A"
"632","Activités de services administratifs et de soutien","Services relatifs aux bâtiments et aménagement paysager","Autres activités de nettoyage n.c.a.","81.29B"
"633","Activités de services administratifs et de soutien","Services relatifs aux bâtiments et aménagement paysager","Services d'aménagement paysager ","81.30Z"
"634","Activités de services administratifs et de soutien","Activités administratives et autres activités de soutien aux entreprises","Services administratifs combinés de bureau","82.11Z"
"635","Activités de services administratifs et de soutien","Activités administratives et autres activités de soutien aux entreprises","Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau","82.19Z"
"636","Activités de services administratifs et de soutien","Activités administratives et autres activités de soutien aux entreprises","Activités de centres d'appels","82.20Z"
"637","Activités de services administratifs et de soutien","Activités administratives et autres activités de soutien aux entreprises","Organisation de foires, salons professionnels et congrès","82.30Z"
"638","Activités de services administratifs et de soutien","Activités administratives et autres activités de soutien aux entreprises","Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle","82.91Z"
"639","Activités de services administratifs et de soutien","Activités administratives et autres activités de soutien aux entreprises","Activités de conditionnement","82.92Z"
"640","Activités de services administratifs et de soutien","Activités administratives et autres activités de soutien aux entreprises","Autres activités de soutien aux entreprises n.c.a.","82.99Z"
"641","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Administration publique générale","84.11Z"
"642","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale ","84.12Z"
"643","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Administration publique (tutelle) des activités économiques","84.13Z"
"644","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Affaires étrangères","84.21Z"
"645","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Défense","84.22Z"
"646","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Justice","84.23Z"
"647","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Activités d’ordre public et de sécurité","84.24Z"
"648","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Services du feu et de secours","84.25Z"
"649","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Activités générales de sécurité sociale","84.30A"
"650","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Gestion des retraites complémentaires","84.30B"
"651","Administration publique","Administration publique et défense ; Sécurité sociale obligatoire","Distribution sociale de revenus","84.30C"
"652","Enseignement","Enseignement","Enseignement pré-primaire","85.10Z"
"653","Enseignement","Enseignement","Enseignement primaire","85.20Z"
"654","Enseignement","Enseignement","Enseignement secondaire général","85.31Z"
"655","Enseignement","Enseignement","Enseignement secondaire technique ou professionnel","85.32Z"
"656","Enseignement","Enseignement","Enseignement post-secondaire non supérieur","85.41Z"
"657","Enseignement","Enseignement","Enseignement supérieur","85.42Z"
"658","Enseignement","Enseignement","Enseignement de disciplines sportives et d'activités de loisirs","85.51Z"
"659","Enseignement","Enseignement","Enseignement culturel","85.52Z"
"660","Enseignement","Enseignement","Enseignement de la conduite","85.53Z"
"661","Enseignement","Enseignement","Formation continue d'adultes","85.59A"
"662","Enseignement","Enseignement","Autres enseignements","85.59B"
"663","Enseignement","Enseignement","Activités de soutien à l'enseignement","85.60Z"
"664","Santé humaine et action sociale","Activités pour la santés humaine","Activités hospitalières","86.10Z"
"665","Santé humaine et action sociale","Activités pour la santés humaine","Activité des médecins généralistes","86.21Z"
"666","Santé humaine et action sociale","Activités pour la santés humaine","Activités de radiodiagnostic et de radiothérapie","86.22A"
"667","Santé humaine et action sociale","Activités pour la santés humaine","Activités chirurgicales","86.22B"
"668","Santé humaine et action sociale","Activités pour la santés humaine","Autres activités des médecins spécialistes","86.22C"
"669","Santé humaine et action sociale","Activités pour la santés humaine","Pratique dentaire","86.23Z"
"670","Santé humaine et action sociale","Activités pour la santés humaine","Ambulances","86.90A"
"671","Santé humaine et action sociale","Activités pour la santés humaine","Laboratoires d'analyses médicales","86.90B"
"672","Santé humaine et action sociale","Activités pour la santés humaine","Centres de collecte et banques d'organes","86.90C"
"673","Santé humaine et action sociale","Activités pour la santés humaine","Activités des infirmiers et des sages-femmes","86.90D"
"674","Santé humaine et action sociale","Activités pour la santés humaine","Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues","86.90E"
"675","Santé humaine et action sociale","Activités pour la santés humaine","Activités de santé humaine non classées ailleurs","86.90F"
"676","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement médicalisé pour personnes âgées","87.10A"
"677","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement médicalisé pour enfants handicapés ","87.10B"
"678","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé  ","87.10C"
"679","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement social pour handicapés mentaux et malades mentaux ","87.20A"
"680","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement social pour toxicomanes","87.20B"
"681","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement social pour personnes âgées","87.30A"
"682","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement social pour handicapés  physiques","87.30B"
"683","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement social pour enfants en difficultés ","87.90A"
"684","Santé humaine et action sociale","Hébergement médico-social et social","Hébergement social pour adultes et familles en difficultés et autre hébergement social ","87.90B"
"685","Santé humaine et action sociale","Action sociale sans hébergement","Aide à domicile  ","88.10A"
"686","Santé humaine et action sociale","Action sociale sans hébergement","Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées","88.10B"
"687","Santé humaine et action sociale","Action sociale sans hébergement","Aide par le travail ","88.10C"
"688","Santé humaine et action sociale","Action sociale sans hébergement","Accueil de jeunes enfants","88.91A"
"689","Santé humaine et action sociale","Action sociale sans hébergement","Accueil ou accompagnement sans hébergement d’enfants handicapés","88.91B"
"690","Santé humaine et action sociale","Action sociale sans hébergement","Autre accueil ou accompagnement sans hébergement d’enfants  et d’adolescents ","88.99A"
"691","Santé humaine et action sociale","Action sociale sans hébergement","Action sociale sans hébergement n.c.a.","88.99B"
"692","Arts, spectacles et activité récréatives","Activités créatives, artistiques et de spectacle","Arts du spectacle vivant","90.01Z"
"693","Arts, spectacles et activité récréatives","Activités créatives, artistiques et de spectacle","Activités de soutien au spectacle vivant","90.02Z"
"694","Arts, spectacles et activité récréatives","Activités créatives, artistiques et de spectacle","Création artistique relevant des arts plastiques","90.03A"
"695","Arts, spectacles et activité récréatives","Activités créatives, artistiques et de spectacle","Autre création artistique","90.03B"
"696","Arts, spectacles et activité récréatives","Activités créatives, artistiques et de spectacle","Gestion de salles de spectacles","90.04Z"
"697","Arts, spectacles et activité récréatives","bibliothèques, archives, musées et autres activités culturelles","Gestion des bibliothèques et des archives","91.01Z"
"698","Arts, spectacles et activité récréatives","bibliothèques, archives, musées et autres activités culturelles","Gestion des musées","91.02Z"
"699","Arts, spectacles et activité récréatives","bibliothèques, archives, musées et autres activités culturelles","Gestion des sites et monuments historiques et des attractions touristiques similaires","91.03Z"
"700","Arts, spectacles et activité récréatives","bibliothèques, archives, musées et autres activités culturelles","Gestion des jardins botaniques et zoologiques et des réserves naturelles","91.04Z"
"701","Arts, spectacles et activité récréatives","Organisation de jeux de hasard et d'argent","Organisation de jeux de hasard et d'argent","92.00Z"
"702","Arts, spectacles et activité récréatives","Activiés sportives, récrcéatives et de loisirs","Gestion d'installations sportives","93.11Z"
"703","Arts, spectacles et activité récréatives","Activiés sportives, récrcéatives et de loisirs","Activités de clubs de sports","93.12Z"
"704","Arts, spectacles et activité récréatives","Activiés sportives, récrcéatives et de loisirs","Activités des centres de culture physique","93.13Z"
"705","Arts, spectacles et activité récréatives","Activiés sportives, récrcéatives et de loisirs","Autres activités liées au sport","93.19Z"
"706","Arts, spectacles et activité récréatives","Activiés sportives, récrcéatives et de loisirs","Activités des parcs d'attractions et parcs à thèmes","93.21Z"
"707","Arts, spectacles et activité récréatives","Activiés sportives, récrcéatives et de loisirs","Autres activités récréatives et de loisirs","93.29Z"
"708","Autres activités de services","Activités des organisations associatives","Activités des organisations patronales et consulaires","94.11Z"
"709","Autres activités de services","Activités des organisations associatives","Activités des organisations professionnelles","94.12Z"
"710","Autres activités de services","Activités des organisations associatives","Activités des syndicats de salariés","94.20Z"
"711","Autres activités de services","Activités des organisations associatives","Activités des organisations religieuses","94.91Z"
"712","Autres activités de services","Activités des organisations associatives","Activités des organisations politiques","94.92Z"
"713","Autres activités de services","Activités des organisations associatives","Autres organisations fonctionnant par adhésion volontaire","94.99Z"
"714","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation d'ordinateurs et d'équipements périphériques","95.11Z"
"715","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation d'équipements de communication","95.12Z"
"716","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation de produits électroniques grand public","95.21Z"
"717","Autres activités de services","Réparation d'ordinateurs et de biens personnels et domestiques","Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin","95.22Z"
